feature,importance_gain,importance_split
AMT_CREDIT_GOODS_PERC_to_prev_approved,433.7832388850549,72.86666666666666
inst_max_DBD,369.17210481762885,72.8
prev_approved_AMT_CREDIT_SUM,605.2842012657474,72.46666666666667
OCCUPATION_TYPE,589.3213153426846,72.0
prev_max_DAYS_FIRST_DUE,534.5989129334688,71.6
NEW_CREDIT_TO_INCOME_RATIO,528.3220877362415,71.33333333333334
bureau_avg_DAYS_CREDIT_UPDATE,441.04563536336644,71.26666666666668
prev_max_DAYS_DECISION,493.78070456273855,71.26666666666667
bureau_max_DAYS_CREDIT,499.77654769072933,70.6
pos_MONTH_CNT,994.8169423957664,70.4
bureau_active_sum_AMT_DEBT_RATIO,726.9540875981872,70.33333333333333
inst_mean_DBD_SCALE,410.74563340644045,70.06666666666666
prev_avg_RATE_DOWN_PAYMENT,484.56559409312905,70.06666666666666
pos_MONTH_MAX,507.6989541135728,70.0
prev_approved_AMT_CREDIT_MEAN,411.01666418972115,69.73333333333332
prev_recent_AMT_ANNUITY,394.6145247033487,69.6
prev_avg_DAYS_END_DIFF,733.1980058327317,68.93333333333334
bureau_max_DAYS_CREDIT_ENDDATE,567.6350706872842,68.8
bureau_avg_DAYS_CREDIT,501.4352199082574,68.53333333333333
bureau_active_avg_AMT_CREDIT_SUM_DEBT,469.8118955274423,68.26666666666667
prev_avg_DAYS_TERMINATION,447.05914738848804,68.06666666666668
AMT_DIFF_CREDIT_GOODS_to_prev_approved,390.1943359081323,67.73333333333332
inst_sum_AMT_PAYMENT_DIFF_SCALE,642.7772204051414,66.93333333333334
inst_mean_AMT_PAYMENT,400.0318848011394,66.6
cc_mean4_AMT_PAY_INST_DIFF,743.7741883476575,66.4
prev_max_AMT_APPLICATION,411.06981944938497,66.0
bureau_sum_DAYS_CREDIT_ENDDATE,420.186817335089,65.8
TOTALAREA_MODE,506.97812791069344,65.0
prev_refused_DAYS_DECISION_MAX,501.95265428349376,64.86666666666667
bureau_recent_DAYS_CREDIT_UPDATE,462.1305384606744,64.66666666666666
APARTMENTS_MODE,491.31058698088555,63.33333333333333
prev_avg_DAYS_FIRST_DUE,497.285383459429,63.2
prev_approved_AMT_APPLICATION_MAX,464.86723404241104,62.93333333333332
prev_sum_DAYS_DECISION,461.48567406199874,62.73333333333333
REGION,338.2946664808939,61.8
prev_approved_AMT_ANNUITY_MEAN,352.46417699319625,61.666666666666664
prev_max_AMT_CREDIT_GOODS_PERC,500.7217757508159,61.26666666666667
prev_avg_AMT_ANNUITY,397.35811322728796,61.266666666666666
FLAG_WORK_PHONE,603.0743010123572,60.6
prev_approved_AMT_DIFF_CREAPP_MAX,822.9146100995442,60.46666666666666
bureau_sum_DAYS_END_DIFF,361.9004083981116,60.2
LIVINGAREA_MEDI,465.8187396307786,60.06666666666666
prev_active_sum_AMT_PAID,500.95020159532623,60.0
prev_approved_AMT_CREDIT_GOODS_PERC_MAX,387.816385007898,59.133333333333326
prev_avg_DAYS_DECISION,456.97952611545725,59.0
prev_max_AMT_CREDIT,343.40386571884153,59.0
prev_avg_AMT_DOWN_PAYMENT,375.444517416507,57.733333333333334
prev_max_DAYS_TOTAL,346.568705624342,57.733333333333334
prev_max_AMT_ANNUITY,327.344350849092,57.2
bureau_active_sum_DAYS_CREDIT_ENDDATE,368.1154391448944,57.0
prev_avg_AMT_PAY_YEAR,367.9916113637388,56.6
bureau_sum_DAYS_CREDIT,408.27973156422377,56.6
bureau_sum_AMT_DEBT_RATIO,801.279594198242,56.13333333333334
prev_approved_AMT_DIFF_CREDIT_GOODS_MEAN,324.6724657893181,55.6
bureau_sum_DAYS_CREDIT_UPDATE,313.44557825277246,55.4
prev_approved_AMT_ANNUITY_MAX,369.4797798726087,55.4
prev_max_AMT_PAY_YEAR,326.2769981180628,54.733333333333334
prev_approved_DAYS_DECISION_MAX,394.9374547393371,54.53333333333334
prev_approved_AMT_PAY_YEAR_MEAN,311.88062456746894,54.333333333333336
bureau_AMT_MAX_OVERDUE_TOTAL_RATIO,492.37839995821315,54.2
prev_recent_SELLERPLACE_AREA,338.32765586773553,53.666666666666664
prev_recent_DAYS_DECISION,363.4489042672018,53.266666666666666
bureau_sum_DAYS_ENDDATE_FACT,338.4835930658504,52.93333333333334
prev_sum_AMT_ANNUITY,552.5464946587881,52.666666666666664
LANDAREA_MEDI,312.3478749811649,52.266666666666666
bureau_active_sum_AMT_CREDIT_SUM_DEBT,347.6614859645565,52.266666666666666
prev_recent_AMT_PAY_YEAR,298.08743737588327,52.13333333333334
prev_approved_AMT_PAY_YEAR_MAX,334.0194976518552,52.0
prev_approved_RATE_DOWN_PAYMENT_MAX,405.70595193952323,51.866666666666674
prev_approved_DAYS_DECISION_MEAN,385.87284106202424,51.733333333333334
prev_min_DAYS_DECISION,373.54075755973656,51.73333333333333
prev_approved_CNT_PAYMENT_MEAN,461.09410323475794,51.666666666666664
inst_mean_AMT_PAYMENT_SCALE,322.67422250888,51.6
bureau_recent_DAYS_ENDDATE_FACT,558.4490208700299,51.4
prev_approved_AMT_CREDIT_GOODS_PERC_MEAN,433.5431597525875,51.4
prev_approved_DAYS_DECISION_MIN,347.4769542721411,50.2
prev_approved_APP_CREDIT_PERC_MAX,417.1515363593896,49.2
prev_max_DAYS_END_DIFF,466.9190186315526,49.13333333333333
prev_recent_APP_CREDIT_PERC,279.6618248949448,48.8
AMT_PAY_YEAR_to_prev_refused,287.22783519029616,48.733333333333334
DEF_30_CNT_SOCIAL_CIRCLE,887.3590750614803,48.666666666666664
prev_approved_AMT_DOWN_PAYMENT_MAX,451.67970607082043,48.53333333333334
bureau_sum_AMT_CREDIT_SUM_DEBT,317.34218745579324,48.266666666666666
prev_refused_CNT_PAYMENT_MEAN,403.7988511264324,48.13333333333334
prev_sum_AMT_CREDIT,266.1105528935169,48.06666666666667
inst_mean_DPD,366.711609203741,47.8
prev_sum_AMT_APPLICATION,281.7312438116719,47.733333333333334
BASEMENTAREA_MEDI,300.63605021114154,47.46666666666667
prev_max_AMT_DIFF_CREAPP,497.93480896850434,46.06666666666666
bureau_recent_DAYS_CREDIT,333.6263972471158,45.93333333333334
prev_approved_RATE_DOWN_PAYMENT_MEAN,270.1642353398105,45.53333333333333
prev_avg_AMT_DIFF_CREAPP,311.06507738040136,45.06666666666667
prev_approved_AMT_DIFF_CREDIT_GOODS_MAX,286.1405147353808,44.93333333333334
pos_recent_CNT_INSTALMENT_FUTURE,522.3724606772264,44.93333333333333
inst_var_DPD,350.1069638321797,44.66666666666667
prev_recent_DAYS_FIRST_DUE,273.52745326111716,44.4
inst_max_DPD,303.2706202919284,44.33333333333333
bureau_sum_AMT_CREDIT_MAX_OVERDUE,360.3898531059424,44.266666666666666
